date,open,high,low,close,volume
2010-08-10,1.32189,1.32331,1.30733,1.31753,80821.8
2010-08-11,1.31732,1.3186,1.28575,1.28605,80587.6
2010-08-12,1.28629,1.29315,1.27802,1.28254,80894.8
2010-08-13,1.28271,1.29056,1.27458,1.27495,80405.8
2010-08-16,1.2755,1.28699,1.27318,1.28243,80264.8
2010-08-17,1.28215,1.29155,1.28019,1.28831,80364.8
2010-08-18,1.28833,1.29203,1.28193,1.28511,79976.1
2010-08-19,1.28504,1.29023,1.27714,1.28205,79917.3
2010-08-20,1.28209,1.28316,1.26603,1.27075,79773.0
2010-08-23,1.27026,1.27296,1.26433,1.26557,79184.1
2010-08-24,1.26555,1.27185,1.25837,1.26249,80906.8
2010-08-25,1.2623,1.27235,1.26048,1.26571,78604.6
2010-08-26,1.2657,1.2763,1.26475,1.27127,80766.2
2010-08-27,1.27153,1.27785,1.2675,1.27595,79474.5
2010-08-30,1.27575,1.2769,1.26544,1.26588,79750.9
2010-08-31,1.26588,1.27428,1.26215,1.26782,79505.5
2010-09-01,1.26766,1.28542,1.2661,1.28062,79682.1
2010-09-02,1.28051,1.28475,1.27735,1.28224,79999.1
2010-09-03,1.28241,1.28971,1.28055,1.28945,79121.4
2010-09-06,1.28903,1.29176,1.28636,1.28742,79652.7
2010-09-07,1.28749,1.28761,1.26733,1.26811,80338.1
2010-09-08,1.26804,1.27628,1.26577,1.27184,79853.3
2010-09-09,1.27209,1.27657,1.26618,1.26933,80101.9
2010-09-10,1.26942,1.27463,1.26425,1.26801,79538.6
2010-09-13,1.26748,1.28917,1.26748,1.28812,80845.5
2010-09-14,1.28809,1.30345,1.28265,1.2996,79827.1
2010-09-15,1.2996,1.30369,1.29517,1.30094,80170.6
2010-09-16,1.30081,1.31149,1.29727,1.30763,79712.7
2010-09-17,1.30772,1.31587,1.30181,1.30474,80571.1
2010-09-20,1.3055,1.31203,1.30313,1.30601,81406.3
2010-09-21,1.30584,1.32821,1.30535,1.32614,80359.8
2010-09-22,1.32613,1.34387,1.32447,1.34039,79774.8
2010-09-23,1.34047,1.34132,1.33029,1.33123,80920.1
2010-09-24,1.33123,1.34944,1.32833,1.34884,80020.9
2010-09-27,1.34842,1.35061,1.34232,1.34519,80167.3
2010-09-28,1.34528,1.35948,1.33777,1.35816,80398.9
2010-09-29,1.35845,1.36458,1.35637,1.36255,80256.2
2010-09-30,1.36256,1.36836,1.35594,1.36333,80734.6
2010-10-01,1.36324,1.37923,1.36153,1.37887,80218.0
2010-10-04,1.37923,1.38055,1.36629,1.36847,79715.7
2010-10-05,1.3684,1.38588,1.36343,1.38373,80619.6
2010-10-06,1.38393,1.39477,1.37977,1.39287,80654.4
2010-10-07,1.39283,1.40274,1.38536,1.39253,80172.2
2010-10-08,1.39235,1.39806,1.38332,1.39353,79742.6
2010-10-11,1.39474,1.40091,1.38641,1.38747,79638.0
2010-10-12,1.38756,1.39331,1.37727,1.39244,79710.1
2010-10-13,1.39239,1.40007,1.39083,1.39593,79833.7
2010-10-14,1.39585,1.41218,1.3952,1.40825,79076.6
2010-10-15,1.40831,1.41561,1.39364,1.39742,80498.5
2010-10-18,1.398,1.39984,1.38278,1.39331,83121.7
2010-10-19,1.3932,1.39969,1.37107,1.3724,84034.8
2010-10-20,1.37251,1.39904,1.36961,1.39613,84055.6
2010-10-21,1.39596,1.4049,1.38703,1.39156,84834.9
2010-10-22,1.3918,1.39709,1.38566,1.39522,84828.2
2010-10-25,1.3957,1.40794,1.39309,1.39624,87190.4
2010-10-26,1.39625,1.39815,1.38216,1.38575,85141.4
2010-10-27,1.38586,1.38767,1.37324,1.37682,85164.1
2010-10-28,1.37665,1.39439,1.37612,1.39293,84633.3
2010-10-29,1.39288,1.39499,1.38038,1.39451,84957.1
2010-11-01,1.39508,1.4011,1.3862,1.38912,80827.3
2010-11-02,1.38916,1.40573,1.38788,1.40321,83130.1
2010-11-03,1.40322,1.41465,1.39885,1.41374,84143.1
2010-11-04,1.41363,1.42817,1.40996,1.42052,83795.7
2010-11-05,1.42053,1.42468,1.40207,1.40296,85818.5
2010-11-08,1.40581,1.40825,1.38858,1.39182,80090.1
2010-11-09,1.39183,1.39717,1.3749,1.3777,83425.3
2010-11-10,1.37763,1.38251,1.36691,1.37772,83425.8
2010-11-11,1.37762,1.38205,1.3634,1.36575,84212.0
2010-11-12,1.36573,1.37759,1.35714,1.36916,84925.5
2010-11-13,1.36913,1.36969,1.36858,1.36895,3647.3
2010-11-15,1.37046,1.37498,1.35631,1.35682,84164.7
2010-11-16,1.35684,1.36547,1.34467,1.3488,92508.2
